post_id,account_id,text,timestamp,county_fips,account_age_days,account_karma
mad_016,user_1016,According to the news piece this county has seen a spike in crisis calls.,2026-03-03 23:00:00,01089,750,1400
mad_017,user_1017,They reported on the mental health crisis at the town hall last night.,2026-03-04 00:00:00,01089,480,840
mad_018,user_1018,Have you seen the story circulating about local mental health services?,2026-03-04 01:00:00,01089,920,1750
mad_019,user_1019,Breaking: new report on depression rates in Alabama released today.,2026-03-04 02:00:00,01089,360,620
mad_020,user_1020,The article says community awareness events are being planned. Good news.,2026-03-04 03:00:00,01089,1300,2500
low_001,user_2001,I'm not doing well. Really struggling out here and there's nowhere to go.,2026-03-02 10:00:00,01085,400,200
low_002,user_2002,Feeling real low. Nothing seems worth it anymore.,2026-03-02 14:00:00,01085,600,350
low_003,user_2003,Been a hard week. Can't shake this feeling of hopelessness.,2026-03-02 18:00:00,01085,250,120
low_004,user_2004,I'm hurting bad and don't know who to talk to.,2026-03-02 22:00:00,01085,800,450
low_005,user_2005,Things are real dark right now. I need help.,2026-03-03 02:00:00,01085,350,180
low_006,user_2006,I don't know how much longer I can keep going like this.,2026-03-03 06:00:00,01085,500,280
low_007,user_2007,Crying all day again. I'm so tired of feeling this way.,2026-03-03 10:00:00,01085,700,400
low_008,user_2008,I feel like giving up. Everything is too hard.,2026-03-03 14:00:00,01085,450,240
